,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
52,Peptic ulcer diseae,30,35,39,92,93,140,140,140,140,140,140,140,140,140,140,140,140
53,Peptic ulcer diseae,11,35,39,92,93,140,140,140,140,140,140,140,140,140,140,140,140
54,Peptic ulcer diseae,11,30,39,92,93,140,140,140,140,140,140,140,140,140,140,140,140
55,Peptic ulcer diseae,11,30,35,92,93,140,140,140,140,140,140,140,140,140,140,140,140
56,Peptic ulcer diseae,11,30,35,39,93,140,140,140,140,140,140,140,140,140,140,140,140
57,Peptic ulcer diseae,11,30,35,39,92,140,140,140,140,140,140,140,140,140,140,140,140
58,Peptic ulcer diseae,11,30,35,39,92,93,140,140,140,140,140,140,140,140,140,140,140
59,Peptic ulcer diseae,11,30,35,39,92,93,140,140,140,140,140,140,140,140,140,140,140
60,AIDS,10,22,25,75,140,140,140,140,140,140,140,140,140,140,140,140,140
61,AIDS,22,25,75,140,140,140,140,140,140,140,140,140,140,140,140,140,140
62,AIDS,10,25,75,140,140,140,140,140,140,140,140,140,140,140,140,140,140
63,AIDS,10,22,75,140,140,140,140,140,140,140,140,140,140,140,140,140,140
64,AIDS,10,22,25,140,140,140,140,140,140,140,140,140,140,140,140,140,140
65,AIDS,10,22,25,75,140,140,140,140,140,140,140,140,140,140,140,140,140
66,AIDS,10,22,25,75,140,140,140,140,140,140,140,140,140,140,140,140,140
67,AIDS,22,25,75,140,140,140,140,140,140,140,140,140,140,140,140,140,140
68,AIDS,10,25,75,140,140,140,140,140,140,140,140,140,140,140,140,140,140
69,AIDS,10,22,25,140,140,140,140,140,140,140,140,140,140,140,140,140,140
70,Diabetes ,14,19,20,21,23,49,67,74,104,105,140,140,140,140,140,140,140
71,Diabetes ,14,19,20,21,23,49,67,74,104,105,140,140,140,140,140,140,140
72,Diabetes ,19,20,21,23,49,67,74,104,105,140,140,140,140,140,140,140,140
73,Diabetes ,14,20,21,23,49,67,74,104,105,140,140,140,140,140,140,140,140
74,Diabetes ,14,19,21,23,49,67,74,104,105,140,140,140,140,140,140,140,140
75,Diabetes ,14,19,20,23,49,67,74,104,105,140,140,140,140,140,140,140,140
76,Diabetes ,14,19,20,21,49,67,74,104,105,140,140,140,140,140,140,140,140
77,Diabetes ,14,19,20,21,23,67,74,104,105,140,140,140,140,140,140,140,140
78,Diabetes ,14,19,20,21,23,49,74,104,105,140,140,140,140,140,140,140,140
79,Diabetes ,14,19,20,21,23,49,67,104,105,140,140,140,140,140,140,140,140
80,Gastroenteritis,11,26,29,40,140,140,140,140,140,140,140,140,140,140,140,140,140
81,Gastroenteritis,11,26,29,40,140,140,140,140,140,140,140,140,140,140,140,140,140
82,Gastroenteritis,26,29,40,140,140,140,140,140,140,140,140,140,140,140,140,140,140
83,Gastroenteritis,11,29,40,140,140,140,140,140,140,140,140,140,140,140,140,140,140
84,Gastroenteritis,11,26,40,140,140,140,140,140,140,140,140,140,140,140,140,140,140
85,Gastroenteritis,11,26,29,140,140,140,140,140,140,140,140,140,140,140,140,140,140
86,Gastroenteritis,11,26,29,40,140,140,140,140,140,140,140,140,140,140,140,140,140
87,Gastroenteritis,26,29,40,140,140,140,140,140,140,140,140,140,140,140,140,140,140
88,Gastroenteritis,11,29,40,140,140,140,140,140,140,140,140,140,140,140,140,140,140
89,Gastroenteritis,11,26,40,140,140,140,140,140,140,140,140,140,140,140,140,140,140
90,Bronchial Asthma,14,24,25,27,106,107,140,140,140,140,140,140,140,140,140,140,140
91,Bronchial Asthma,24,25,27,106,107,140,140,140,140,140,140,140,140,140,140,140,140
92,Bronchial Asthma,14,25,27,106,107,140,140,140,140,140,140,140,140,140,140,140,140
93,Bronchial Asthma,14,24,27,106,107,140,140,140,140,140,140,140,140,140,140,140,140
94,Bronchial Asthma,14,24,25,106,107,140,140,140,140,140,140,140,140,140,140,140,140
95,Bronchial Asthma,14,24,25,27,107,140,140,140,140,140,140,140,140,140,140,140,140
96,Bronchial Asthma,14,24,25,27,106,140,140,140,140,140,140,140,140,140,140,140,140
97,Bronchial Asthma,14,24,25,27,106,107,140,140,140,140,140,140,140,140,140,140,140
98,Bronchial Asthma,24,25,27,106,107,140,140,140,140,140,140,140,140,140,140,140,140
99,Bronchial Asthma,14,25,27,106,107,140,140,140,140,140,140,140,140,140,140,140,140
100,Hypertension ,31,56,64,85,109,140,140,140,140,140,140,140,140,140,140,140,140
101,Hypertension ,56,64,85,109,140,140,140,140,140,140,140,140,140,140,140,140,140
102,Hypertension ,31,64,85,109,140,140,140,140,140,140,140,140,140,140,140,140,140
103,Hypertension ,31,56,85,109,140,140,140,140,140,140,140,140,140,140,140,140,140
104,Hypertension ,31,56,64,109,140,140,140,140,140,140,140,140,140,140,140,140,140
105,Hypertension ,31,56,64,85,140,140,140,140,140,140,140,140,140,140,140,140,140
106,Hypertension ,31,56,64,85,109,140,140,140,140,140,140,140,140,140,140,140,140
107,Hypertension ,56,64,85,109,140,140,140,140,140,140,140,140,140,140,140,140,140
108,Hypertension ,31,64,85,109,140,140,140,140,140,140,140,140,140,140,140,140,140
109,Hypertension ,31,56,85,109,140,140,140,140,140,140,140,140,140,140,140,140,140
110,Migraine,8,30,31,49,74,81,95,96,110,140,140,140,140,140,140,140,140
111,Migraine,30,31,49,74,81,95,96,110,140,140,140,140,140,140,140,140,140
112,Migraine,8,31,49,74,81,95,96,110,140,140,140,140,140,140,140,140,140
113,Migraine,8,30,49,74,81,95,96,110,140,140,140,140,140,140,140,140,140
114,Migraine,8,30,31,74,81,95,96,110,140,140,140,140,140,140,140,140,140
115,Migraine,8,30,31,49,81,95,96,110,140,140,140,140,140,140,140,140,140
116,Migraine,8,30,31,49,74,95,96,110,140,140,140,140,140,140,140,140,140
117,Migraine,8,30,31,49,74,81,96,110,140,140,140,140,140,140,140,140,140
118,Migraine,8,30,31,49,74,81,95,110,140,140,140,140,140,140,140,140,140
119,Migraine,8,30,31,49,74,81,95,96,140,140,140,140,140,140,140,140,140
120,Cervical spondylosis,37,57,63,64,85,140,140,140,140,140,140,140,140,140,140,140,140
121,Cervical spondylosis,37,57,63,64,85,140,140,140,140,140,140,140,140,140,140,140,140
122,Cervical spondylosis,57,63,64,85,140,140,140,140,140,140,140,140,140,140,140,140,140
123,Cervical spondylosis,37,63,64,85,140,140,140,140,140,140,140,140,140,140,140,140,140
124,Cervical spondylosis,37,57,64,85,140,140,140,140,140,140,140,140,140,140,140,140,140
125,Cervical spondylosis,37,57,63,85,140,140,140,140,140,140,140,140,140,140,140,140,140
126,Cervical spondylosis,37,57,63,64,140,140,140,140,140,140,140,140,140,140,140,140,140
127,Cervical spondylosis,37,57,63,64,85,140,140,140,140,140,140,140,140,140,140,140,140
128,Cervical spondylosis,57,63,64,85,140,140,140,140,140,140,140,140,140,140,140,140,140
129,Cervical spondylosis,37,63,64,85,140,140,140,140,140,140,140,140,140,140,140,140,140
130,Paralysis (brain hemorrhage),11,31,87,98,140,140,140,140,140,140,140,140,140,140,140,140,140
131,Paralysis (brain hemorrhage),11,31,87,98,140,140,140,140,140,140,140,140,140,140,140,140,140
132,Paralysis (brain hemorrhage),31,87,98,140,140,140,140,140,140,140,140,140,140,140,140,140,140
133,Paralysis (brain hemorrhage),11,87,98,140,140,140,140,140,140,140,140,140,140,140,140,140,140
134,Paralysis (brain hemorrhage),11,31,98,140,140,140,140,140,140,140,140,140,140,140,140,140,140
135,Paralysis (brain hemorrhage),11,31,87,140,140,140,140,140,140,140,140,140,140,140,140,140,140
136,Paralysis (brain hemorrhage),11,31,87,98,140,140,140,140,140,140,140,140,140,140,140,140,140
137,Paralysis (brain hemorrhage),31,87,98,140,140,140,140,140,140,140,140,140,140,140,140,140,140
138,Paralysis (brain hemorrhage),11,87,98,140,140,140,140,140,140,140,140,140,140,140,140,140,140
139,Paralysis (brain hemorrhage),11,31,98,140,140,140,140,140,140,140,140,140,140,140,140,140,140
140,Jaundice,0,11,14,19,25,32,33,39,140,140,140,140,140,140,140,140,140
141,Jaundice,0,11,14,19,25,32,33,39,140,140,140,140,140,140,140,140,140
142,Jaundice,11,14,19,25,32,33,39,140,140,140,140,140,140,140,140,140,140
143,Jaundice,0,14,19,25,32,33,39,140,140,140,140,140,140,140,140,140,140
144,Jaundice,0,11,19,25,32,33,39,140,140,140,140,140,140,140,140,140,140
145,Jaundice,0,11,14,25,32,33,39,140,140,140,140,140,140,140,140,140,140
146,Jaundice,0,11,14,19,32,33,39,140,140,140,140,140,140,140,140,140,140
147,Jaundice,0,11,14,19,25,33,39,140,140,140,140,140,140,140,140,140,140
148,Jaundice,0,11,14,19,25,32,39,140,140,140,140,140,140,140,140,140,140
149,Jaundice,0,11,14,19,25,32,33,140,140,140,140,140,140,140,140,140,140
150,Malaria,5,11,25,28,31,34,97,140,140,140,140,140,140,140,140,140,140
151,Malaria,5,11,25,28,31,34,40,97,140,140,140,140,140,140,140,140,140
152,Malaria,5,11,25,28,31,34,40,97,140,140,140,140,140,140,140,140,140
153,Malaria,11,25,28,31,34,40,97,140,140,140,140,140,140,140,140,140,140
154,Malaria,5,25,28,31,34,40,97,140,140,140,140,140,140,140,140,140,140
155,Malaria,5,11,28,31,34,40,97,140,140,140,140,140,140,140,140,140,140
156,Malaria,5,11,25,31,34,40,97,140,140,140,140,140,140,140,140,140,140
157,Malaria,5,11,25,28,34,40,97,140,140,140,140,140,140,140,140,140,140
158,Malaria,5,11,25,28,31,40,97,140,140,140,140,140,140,140,140,140,140
159,Malaria,5,11,25,28,31,34,97,140,140,140,140,140,140,140,140,140,140
160,Chicken pox,0,1,14,21,25,31,35,41,47,48,99,140,140,140,140,140,140
161,Chicken pox,1,14,21,25,31,35,41,47,48,99,140,140,140,140,140,140,140
162,Chicken pox,0,14,21,25,31,35,41,47,48,99,140,140,140,140,140,140,140
163,Chicken pox,0,1,21,25,31,35,41,47,48,99,140,140,140,140,140,140,140
164,Chicken pox,0,1,14,25,31,35,41,47,48,99,140,140,140,140,140,140,140
165,Chicken pox,0,1,14,21,31,35,41,47,48,99,140,140,140,140,140,140,140
166,Chicken pox,0,1,14,21,25,35,41,47,48,99,140,140,140,140,140,140,140
167,Chicken pox,0,1,14,21,25,31,41,47,48,99,140,140,140,140,140,140,140
168,Chicken pox,0,1,14,21,25,31,35,47,48,99,140,140,140,140,140,140,140
169,Chicken pox,0,1,14,21,25,31,35,41,48,99,140,140,140,140,140,140,140
170,Dengue,1,5,6,11,14,25,31,34,35,36,37,97,99,140,140,140,140
171,Dengue,1,5,6,11,14,25,31,34,35,36,37,48,99,140,140,140,140
172,Dengue,1,5,6,11,14,25,31,34,35,36,37,48,97,140,140,140,140
173,Dengue,1,5,6,11,14,25,31,34,35,36,37,48,97,99,140,140,140
174,Dengue,5,6,11,14,25,31,34,35,36,37,48,97,99,140,140,140,140
175,Dengue,1,6,11,14,25,31,34,35,36,37,48,97,99,140,140,140,140
176,Dengue,1,5,11,14,25,31,34,35,36,37,48,97,99,140,140,140,140
177,Dengue,1,5,6,14,25,31,34,35,36,37,48,97,99,140,140,140,140
178,Dengue,1,5,6,11,25,31,34,35,36,37,48,97,99,140,140,140,140
179,Dengue,1,5,6,11,14,31,34,35,36,37,48,97,99,140,140,140,140
180,Typhoid,5,11,14,25,34,38,39,40,94,100,140,140,140,140,140,140,140
181,Typhoid,5,11,14,25,31,38,39,40,94,100,140,140,140,140,140,140,140
182,Typhoid,5,11,14,25,31,34,39,40,94,100,140,140,140,140,140,140,140
183,Typhoid,5,11,14,25,31,34,38,40,94,100,140,140,140,140,140,140,140
184,Typhoid,5,11,14,25,31,34,38,39,94,100,140,140,140,140,140,140,140
185,Typhoid,5,11,14,25,31,34,38,39,40,100,140,140,140,140,140,140,140
186,Typhoid,5,11,14,25,31,34,38,39,40,94,140,140,140,140,140,140,140
187,Typhoid,5,11,14,25,31,34,38,39,40,94,100,140,140,140,140,140,140
188,Typhoid,5,11,14,25,31,34,38,39,40,94,100,140,140,140,140,140,140
189,Typhoid,5,14,25,31,34,38,39,40,94,100,140,140,140,140,140,140,140
190,hepatitis A,6,11,32,33,34,35,39,40,41,43,97,140,140,140,140,140,140
191,hepatitis A,6,11,32,33,34,35,39,40,41,43,97,140,140,140,140,140,140
192,hepatitis A,11,32,33,34,35,39,40,41,43,97,140,140,140,140,140,140,140
193,hepatitis A,6,32,33,34,35,39,40,41,43,97,140,140,140,140,140,140,140
194,hepatitis A,6,11,33,34,35,39,40,41,43,97,140,140,140,140,140,140,140
195,hepatitis A,6,11,32,34,35,39,40,41,43,97,140,140,140,140,140,140,140
196,hepatitis A,6,11,32,33,35,39,40,41,43,97,140,140,140,140,140,140,140
197,hepatitis A,6,11,32,33,34,39,40,41,43,97,140,140,140,140,140,140,140
198,hepatitis A,6,11,32,33,34,35,40,41,43,97,140,140,140,140,140,140,140
199,hepatitis A,6,11,32,33,34,35,39,41,43,97,140,140,140,140,140,140,140
200,Hepatitis B,0,14,21,32,33,35,39,42,43,48,111,112,140,140,140,140,140
201,Hepatitis B,0,14,21,32,33,35,39,42,43,48,111,112,140,140,140,140,140
202,Hepatitis B,14,21,32,33,35,39,42,43,48,111,112,140,140,140,140,140,140
203,Hepatitis B,0,21,32,33,35,39,42,43,48,111,112,140,140,140,140,140,140
204,Hepatitis B,0,14,32,33,35,39,42,43,48,111,112,140,140,140,140,140,140
205,Hepatitis B,0,14,21,33,35,39,42,43,48,111,112,140,140,140,140,140,140
206,Hepatitis B,0,14,21,32,35,39,42,43,48,111,112,140,140,140,140,140,140
207,Hepatitis B,0,14,21,32,33,39,42,43,48,111,112,140,140,140,140,140,140
208,Hepatitis B,0,14,21,32,33,35,42,43,48,111,112,140,140,140,140,140,140
209,Hepatitis B,0,14,21,32,33,35,39,43,48,111,112,140,140,140,140,140,140
210,Hepatitis C,14,32,34,35,106,140,140,140,140,140,140,140,140,140,140,140,140
211,Hepatitis C,14,32,34,35,43,106,140,140,140,140,140,140,140,140,140,140,140
212,Hepatitis C,32,34,35,43,106,140,140,140,140,140,140,140,140,140,140,140,140
213,Hepatitis C,14,34,35,43,106,140,140,140,140,140,140,140,140,140,140,140,140
214,Hepatitis C,14,32,35,43,106,140,140,140,140,140,140,140,140,140,140,140,140
215,Hepatitis C,14,32,34,43,106,140,140,140,140,140,140,140,140,140,140,140,140
216,Hepatitis C,14,32,34,35,106,140,140,140,140,140,140,140,140,140,140,140,140
217,Hepatitis C,14,32,34,35,43,140,140,140,140,140,140,140,140,140,140,140,140
218,Hepatitis C,14,32,34,35,43,106,140,140,140,140,140,140,140,140,140,140,140
219,Hepatitis C,14,32,34,35,43,106,140,140,140,140,140,140,140,140,140,140,140
220,Hepatitis D,6,11,14,32,33,34,35,39,43,140,140,140,140,140,140,140,140
221,Hepatitis D,11,14,32,33,34,35,39,43,140,140,140,140,140,140,140,140,140
222,Hepatitis D,6,14,32,33,34,35,39,43,140,140,140,140,140,140,140,140,140
223,Hepatitis D,6,11,32,33,34,35,39,43,140,140,140,140,140,140,140,140,140
224,Hepatitis D,6,11,14,33,34,35,39,43,140,140,140,140,140,140,140,140,140
225,Hepatitis D,6,11,14,32,34,35,39,43,140,140,140,140,140,140,140,140,140
226,Hepatitis D,6,11,14,32,33,35,39,43,140,140,140,140,140,140,140,140,140
227,Hepatitis D,6,11,14,32,33,34,39,43,140,140,140,140,140,140,140,140,140
228,Hepatitis D,6,11,14,32,33,34,35,43,140,140,140,140,140,140,140,140,140
229,Hepatitis D,6,11,14,32,33,34,35,39,140,140,140,140,140,140,140,140,140
230,Hepatitis E,6,11,14,25,32,33,34,35,39,43,113,114,140,140,140,140,140
231,Hepatitis E,6,11,14,25,32,33,34,35,39,43,44,113,114,140,140,140,140
232,Hepatitis E,6,11,14,25,32,33,34,35,39,43,44,113,114,140,140,140,140
233,Hepatitis E,11,14,25,32,33,34,35,39,43,44,113,114,140,140,140,140,140
234,Hepatitis E,6,14,25,32,33,34,35,39,43,44,113,114,140,140,140,140,140
235,Hepatitis E,6,11,25,32,33,34,35,39,43,44,113,114,140,140,140,140,140
236,Hepatitis E,6,11,14,32,33,34,35,39,43,44,113,114,140,140,140,140,140
237,Hepatitis E,6,11,14,25,33,34,35,39,43,44,113,114,140,140,140,140,140
238,Hepatitis E,6,11,14,25,32,34,35,39,43,44,113,114,140,140,140,140,140
239,Hepatitis E,6,11,14,25,32,33,35,39,43,44,113,114,140,140,140,140,140
240,Alcoholic hepatitis,11,32,39,46,115,116,45,140,140,140,140,140,140,140,140,140,140
241,Alcoholic hepatitis,11,32,39,46,115,116,45,140,140,140,140,140,140,140,140,140,140
242,Alcoholic hepatitis,32,39,46,115,116,45,140,140,140,140,140,140,140,140,140,140,140
243,Alcoholic hepatitis,11,39,46,115,116,45,140,140,140,140,140,140,140,140,140,140,140
244,Alcoholic hepatitis,11,32,46,115,116,45,140,140,140,140,140,140,140,140,140,140,140
245,Alcoholic hepatitis,11,32,39,115,116,45,140,140,140,140,140,140,140,140,140,140,140
246,Alcoholic hepatitis,11,32,39,46,116,45,140,140,140,140,140,140,140,140,140,140,140
247,Alcoholic hepatitis,11,32,39,46,115,45,140,140,140,140,140,140,140,140,140,140,140
248,Alcoholic hepatitis,11,32,39,46,115,116,140,140,140,140,140,140,140,140,140,140,140
249,Alcoholic hepatitis,11,32,39,46,115,116,45,140,140,140,140,140,140,140,140,140,140
250,Tuberculosis,5,11,14,19,24,25,27,28,35,41,43,47,48,50,56,117,140
251,Tuberculosis,5,11,14,19,24,25,27,28,35,41,43,47,48,50,56,117,140
252,Tuberculosis,11,14,19,24,25,27,28,35,41,43,47,48,50,56,117,140,140
253,Tuberculosis,5,14,19,24,25,27,28,35,41,43,47,48,50,56,117,140,140
254,Tuberculosis,5,11,19,24,25,27,28,35,41,43,47,48,50,56,117,140,140
255,Tuberculosis,5,11,14,24,25,27,28,35,41,43,47,48,50,56,117,140,140
256,Tuberculosis,5,11,14,19,25,27,28,35,41,43,47,48,50,56,117,140,140
257,Tuberculosis,5,11,14,19,24,27,28,35,41,43,47,48,50,56,117,140,140
258,Tuberculosis,5,11,14,19,24,25,28,35,41,43,47,48,50,56,117,140,140
259,Tuberculosis,5,11,14,19,24,25,27,35,41,43,47,48,50,56,117,140,140
260,Common Cold,3,5,14,24,25,31,47,48,50,51,52,53,54,55,56,88,97
261,Common Cold,3,5,14,24,25,31,47,48,50,51,52,53,54,55,56,88,97
262,Common Cold,5,14,24,25,31,47,48,50,51,52,53,54,55,56,88,97,140
263,Common Cold,3,14,24,25,31,47,48,50,51,52,53,54,55,56,88,97,140
264,Common Cold,3,5,24,25,31,47,48,50,51,52,53,54,55,56,88,97,140
265,Common Cold,3,5,14,25,31,47,48,50,51,52,53,54,55,56,88,97,140
266,Common Cold,3,5,14,24,31,47,48,50,51,52,53,54,55,56,88,97,140
267,Common Cold,3,5,14,24,25,47,48,50,51,52,53,54,55,56,88,97,140
268,Common Cold,3,5,14,24,25,31,48,50,51,52,53,54,55,56,88,97,140
269,Common Cold,3,5,14,24,25,31,47,50,51,52,53,54,55,56,88,97,140
270,Pneumonia,5,14,24,25,27,28,48,56,58,108,140,140,140,140,140,140,140
271,Pneumonia,5,14,24,25,27,28,48,50,56,58,108,140,140,140,140,140,140
272,Pneumonia,5,14,24,25,27,28,48,50,56,58,108,140,140,140,140,140,140
273,Pneumonia,14,24,25,27,28,48,50,56,58,108,140,140,140,140,140,140,140
274,Pneumonia,5,24,25,27,28,48,50,56,58,108,140,140,140,140,140,140,140
275,Pneumonia,5,14,25,27,28,48,50,56,58,108,140,140,140,140,140,140,140
276,Pneumonia,5,14,24,27,28,48,50,56,58,108,140,140,140,140,140,140,140
277,Pneumonia,5,14,24,25,28,48,50,56,58,108,140,140,140,140,140,140,140
278,Pneumonia,5,14,24,25,27,48,50,56,58,108,140,140,140,140,140,140,140
279,Pneumonia,5,14,24,25,27,28,50,56,58,108,140,140,140,140,140,140,140
280,Dimorphic hemmorhoids(piles),38,59,60,61,62,140,140,140,140,140,140,140,140,140,140,140,140
281,Dimorphic hemmorhoids(piles),38,59,60,61,62,140,140,140,140,140,140,140,140,140,140,140,140
282,Dimorphic hemmorhoids(piles),38,59,60,61,62,140,140,140,140,140,140,140,140,140,140,140,140
283,Dimorphic hemmorhoids(piles),59,60,61,62,140,140,140,140,140,140,140,140,140,140,140,140,140
284,Dimorphic hemmorhoids(piles),38,60,61,62,140,140,140,140,140,140,140,140,140,140,140,140,140
285,Dimorphic hemmorhoids(piles),38,59,61,62,140,140,140,140,140,140,140,140,140,140,140,140,140
286,Dimorphic hemmorhoids(piles),38,59,60,62,140,140,140,140,140,140,140,140,140,140,140,140,140
287,Dimorphic hemmorhoids(piles),38,59,60,61,140,140,140,140,140,140,140,140,140,140,140,140,140
288,Dimorphic hemmorhoids(piles),38,59,60,61,62,140,140,140,140,140,140,140,140,140,140,140,140
289,Dimorphic hemmorhoids(piles),38,59,60,61,62,140,140,140,140,140,140,140,140,140,140,140,140
290,Heart attack,11,27,28,56,140,140,140,140,140,140,140,140,140,140,140,140,140
291,Heart attack,11,27,28,56,140,140,140,140,140,140,140,140,140,140,140,140,140
292,Heart attack,27,28,56,140,140,140,140,140,140,140,140,140,140,140,140,140,140
293,Heart attack,11,28,56,140,140,140,140,140,140,140,140,140,140,140,140,140,140
294,Heart attack,11,27,56,140,140,140,140,140,140,140,140,140,140,140,140,140,140
295,Heart attack,11,27,28,140,140,140,140,140,140,140,140,140,140,140,140,140,140
296,Heart attack,11,27,28,56,140,140,140,140,140,140,140,140,140,140,140,140,140
297,Heart attack,27,28,56,140,140,140,140,140,140,140,140,140,140,140,140,140,140
298,Heart attack,11,28,56,140,140,140,140,140,140,140,140,140,140,140,140,140,140
299,Heart attack,11,27,56,140,140,140,140,140,140,140,140,140,140,140,140,140,140
300,Varicose veins,14,65,66,67,68,69,118,140,140,140,140,140,140,140,140,140,140
301,Varicose veins,14,65,66,67,68,69,118,140,140,140,140,140,140,140,140,140,140
302,Varicose veins,65,66,67,68,69,118,140,140,140,140,140,140,140,140,140,140,140
303,Varicose veins,14,66,67,68,69,118,140,140,140,140,140,140,140,140,140,140,140
304,Varicose veins,14,65,67,68,69,118,140,140,140,140,140,140,140,140,140,140,140
305,Varicose veins,14,65,66,68,69,118,140,140,140,140,140,140,140,140,140,140,140
306,Varicose veins,14,65,66,67,69,118,140,140,140,140,140,140,140,140,140,140,140
307,Varicose veins,14,65,66,67,68,118,140,140,140,140,140,140,140,140,140,140,140
308,Varicose veins,14,65,66,67,68,69,140,140,140,140,140,140,140,140,140,140,140
309,Varicose veins,14,65,66,67,68,118,140,140,140,140,140,140,140,140,140,140,140
310,Hypothyroidism,14,15,17,18,21,64,70,71,72,73,95,96,101,140,140,140,140
311,Hypothyroidism,14,15,17,18,21,64,70,71,72,73,95,96,101,140,140,140,140
312,Hypothyroidism,15,17,18,21,64,70,71,72,73,95,96,101,140,140,140,140,140
